Disease,Precision,Recall,F1,AUC,Threshold
Atelectasis,0.2845,0.4359,0.3443,0.8186,0.6576
Cardiomegaly,0.3333,0.6494,0.4405,0.9368,0.6664
Consolidation,0.0952,0.1714,0.1224,0.7546,0.5772
Edema,0.0,0.0,0.0,0.6924,0.5032
Effusion,0.4244,0.5489,0.4787,0.9147,0.7165
Emphysema,0.125,0.075,0.0938,0.8176,0.6225
Fibrosis,0.0855,0.3538,0.1377,0.7529,0.5367
Hernia,0.0,0.0,0.0,0.8082,0.6225
Infiltration,0.1565,0.4,0.225,0.6822,0.5808
Mass,0.2605,0.5385,0.3511,0.8603,0.6567
Nodule,0.171,0.3272,0.2246,0.6915,0.6261
Pleural_Thickening,0.1311,0.3103,0.1843,0.7263,0.5716
Pneumonia,0.1333,0.0909,0.1081,0.7253,0.5043
Pneumothorax,0.0536,0.45,0.0957,0.7968,0.5054

Micro F1,,,0.2592,,
Macro F1,,,0.2004,,
Mean AUC,,,,0.7842,
Hamming Loss,,,0.0717,,
