Model,Defense,Attack,F1RetentionSlope,AUCRetentionSlope,F1RobustnessAUC,AUCRobustnessAUC,F1RetentionAtMinEps,F1RetentionAtMaxEps,AUCRetentionAtMinEps,AUCRetentionAtMaxEps
Fine-tuned,None,FGSM,-0.008757675635307714,-0.0031805809775148053,0.5039243007454752,0.8515985115837905,0.6708995459051785,0.43887422329214254,0.8977759678325686,0.8186147945421192
Fine-tuned,None,PGD,-0.006013260894294952,-0.003849626316223805,0.4278519416749766,0.7802487042192121,0.5259254882227963,0.37246096235397147,0.8558346726922854,0.7530705401576008
Fine-tuned,None,DeepFool,-0.0032372615219017514,-0.013860000612310195,0.18685070625805214,0.41735960895114643,0.24563200415424466,0.160902141875648,0.6390226474516266,0.2868497982316791
Fine-tuned,None,C&W,-0.0035539914169080804,-0.013745665567839902,0.18342279178870413,0.3196123984152161,0.24451027952171125,0.15270639466999608,0.5342665241495242,0.18682720737305053
Fine-tuned,None,Square,-0.016687342626375775,-0.008305398299220198,0.5573599439177049,0.8397759345811981,0.7959701045174034,0.3819343347491418,0.9633571964498397,0.7555865258763199
Fine-tuned,CLAHE,FGSM,-0.013024137343031228,-0.0034806925883383594,0.7403348710952272,0.9317395196860616,0.9131968978401876,0.5947685267973492,0.978525494976526,0.8932179325397921
Fine-tuned,CLAHE,PGD,-0.004459968711369413,-0.0025198073909050885,0.7366655909970771,0.904281018194084,0.8035577773905782,0.691798800603453,0.9487724019978275,0.8832663086939114
Fine-tuned,CLAHE,DeepFool,-0.010122202267824282,-0.005132645263582597,0.4335061189916474,0.7466327611163308,0.5791112725462706,0.32765886764528845,0.8284592956108325,0.69813411822667
Fine-tuned,CLAHE,C&W,-0.00421555199817597,-0.003494258064596499,0.24517012558144538,0.6284878797540147,0.2880199897149558,0.18957736288035656,0.7008687690960207,0.6062595899338761
Fine-tuned,CLAHE,Square,-0.004746354721024851,-0.00491852144497258,0.3927088056115737,0.7316617237382109,0.43862051728844337,0.32860607868105707,0.785708707629998,0.6694201718146153
Adversarially trained,Adversarial Training,FGSM,-0.008521061684008872,-0.003977989294993983,0.8140107463203324,0.9453123389245631,0.9154793242965561,0.7112506070210081,0.9987962186619306,0.901295766806508
Adversarially trained,Adversarial Training,PGD,-0.011061428573769119,-0.0035745336612145423,0.6173554186717404,0.9225900715903569,0.8109819250497721,0.5240172756936183,0.9755703021896167,0.8862217907917552
Adversarially trained,Adversarial Training,DeepFool,-0.013981886116108472,-0.020127764659741625,0.25712735423268646,0.5899480153960478,0.5208284710295381,0.15140962186521123,0.8972793836372066,0.3909901403948455
Adversarially trained,Adversarial Training,C&W,-0.016086025130093787,-0.024498438879813914,0.2485990057582482,0.5193401234528704,0.5551545319319183,0.12902290835818106,0.8848851599101637,0.2716648256536205
Adversarially trained,Adversarial Training,Square,-0.014987790593339018,-0.003283849305074293,0.7497246780316033,0.9206506074170632,0.931398305552628,0.5710489288180365,0.9638504680324822,0.8836991427267482
Adversarially trained,Adversarial Training + CLAHE,FGSM,-0.014879771736877533,-0.004237999124920308,0.9264630234006992,0.9836563860421027,1.0538976351814695,0.7148264014005594,1.029871499457513,0.9297974767242375
Adversarially trained,Adversarial Training + CLAHE,PGD,-0.009804125261991996,-0.0008813057650217523,0.851389225848303,0.9925552145265858,1.0174917519144382,0.7650916787129017,1.0039459592465463,0.9825069471661303
Adversarially trained,Adversarial Training + CLAHE,DeepFool,-0.015554269937277437,-0.008148118024913999,0.5045322929725035,0.8024775047603727,0.7428872853551208,0.35133642340094895,0.9281278175206605,0.7227354920540233
Adversarially trained,Adversarial Training + CLAHE,C&W,-0.0161134635537358,-0.007129675458663646,0.583758910234248,0.7558803868271159,0.7963092059972454,0.4028135866658799,0.8665694353540474,0.6865867738674255
Adversarially trained,Adversarial Training + CLAHE,Square,-0.012902456094805413,-0.0017129497821086579,0.9306546856986913,0.8988509874361247,1.0903082766778318,0.7789467005760987,0.932192110122372,0.8865687064220196
