Defense,Attack,SampleScope,CleanMacroF1,AttackedMacroF1_avg,AbsoluteF1Drop,CleanAUC,AttackedAUC_avg,AbsoluteAUCDrop,AverageRelativeF1Drop,AverageRelativeAUCDrop,RobustnessScore
Adversarial Training,C&W,300-image attack subset,0.2222957851634322,0.0674525934331676,0.15484319173026462,0.785294311721764,0.4500151640297878,0.3352791476919762,0.696563777025388,0.4269471237565366,0.4808496079411983
Adversarial Training,DeepFool,Full test,0.1975223007871056,0.0600430635909488,0.1374792371961568,0.7712600632932759,0.4906274056693481,0.2806326576239278,0.6960188122977327,0.3638625555504948,0.5059101827234388
Adversarial Training,FGSM,Full test,0.1975223007871056,0.16298385268032248,0.03453844810678311,0.7712600632932759,0.7344762917669954,0.03678377152628054,0.1748584740515427,0.0476930847024724,0.9039919195109368
Adversarial Training,PGD,Full test,0.1975223007871056,0.12839198951210473,0.06913031127500086,0.7712600632932759,0.7175206180596331,0.053739445233642824,0.349987373575155,0.0696774639207632,0.8097934426610103
Adversarial Training,Square,300-image attack subset,0.2222957851634322,0.17122193566893174,0.05107384949450047,0.785294311721764,0.7272962889306768,0.057998022791087234,0.229756265765232,0.0738551418562119,0.8626189290149145
Adversarial Training + CLAHE,C&W,300-image attack subset,0.117754493044723,0.07193472117970147,0.045819771865021536,0.700085475251916,0.5410111174371869,0.15907435781472912,0.389112726659349,0.2272213371624205,0.7284187554236731
Adversarial Training + CLAHE,DeepFool,Full test,0.1197198917164423,0.0647060042420862,0.05501388747435611,0.6631084099508986,0.5447697998648625,0.11833861008603608,0.4595216942281987,0.1784604271491576,0.7237060303479363
Adversarial Training + CLAHE,FGSM,Full test,0.1197198917164423,0.11149114199388066,0.008228749722561643,0.6631084099508986,0.6551127070892847,0.007995702861613885,0.0687333542035896,0.0120579120120132,0.973884699714965
Adversarial Training + CLAHE,PGD,Full test,0.1197198917164423,0.10519933924604734,0.014520552470394965,0.6631084099508986,0.6591098774983825,0.003998532452516135,0.1212877180409336,0.0060299830201402,0.9469361674388184
Adversarial Training + CLAHE,Square,300-image attack subset,0.117754493044723,0.111781610542822,0.005972882501901006,0.700085475251916,0.6335041457089322,0.06658132954298379,0.0507231813195656,0.0951045720796098,0.9362085811800124
CLAHE,C&W,300-image attack subset,0.2082465713862015,0.05175246832021017,0.15649410306599135,0.7793202199394476,0.5004036266226581,0.2789165933167894,0.7514846560223399,0.3578972881499995,0.5346281747120166
CLAHE,DeepFool,Full test,0.1037990515565807,0.04713535837106467,0.056663693185516034,0.6705591337340376,0.5092411788683767,0.16131795486566092,0.5458979859235873,0.2405723026504088,0.6687526179111348
CLAHE,FGSM,Full test,0.1037990515565807,0.079154521940156,0.0246445296164247,0.6705591337340376,0.6288880589660636,0.04167107476797405,0.2374253834389903,0.0621437732656429,0.8771290842748937
CLAHE,PGD,Full test,0.1037990515565807,0.07749069640643534,0.02630835515014536,0.6705591337340376,0.6114379631196947,0.059121170614342966,0.2534546776258808,0.0881669753495477,0.8505622760207658
CLAHE,Square,300-image attack subset,0.2082465713862015,0.08242167787584424,0.12582489351035725,0.7793202199394476,0.5741691882219105,0.205151031717537,0.6042111170080682,0.263243563388458,0.643557810381072
