Defense,Attack,SampleScope,CleanMicroF1,AttackedMicroF1_avg,AbsoluteMicroF1Drop,RelativeMicroF1Drop,CleanMacroF1,AttackedMacroF1_avg,AbsoluteMacroF1Drop,CleanAUC,AttackedAUC_avg,AbsoluteAUCDrop,RobustnessScore
None (Fine-tuned),C&W,300-image attack subset,0.2592,0.05096666666666667,0.20823333333333333,0.803369341563786,0.2004,0.0403,0.1601,0.7842,0.27476666666666666,0.5094333333333334,0.19663065843621397
None (Fine-tuned),DeepFool,Full test,0.2592,0.051199999999999996,0.208,0.8024691358024691,0.2004,0.0395,0.1609,0.7842,0.35453333333333337,0.42966666666666664,0.19753086419753085
None (Fine-tuned),FGSM,Full test,0.2592,0.1668666666666667,0.0923333333333333,0.35622427983539084,0.2004,0.107,0.0934,0.7842,0.6729666666666666,0.1112333333333334,0.6437757201646092
None (Fine-tuned),PGD,Full test,0.2592,0.10943333333333333,0.14976666666666666,0.5778034979423868,0.2004,0.08889999999999999,0.1115,0.7842,0.6226333333333334,0.16156666666666664,0.42219650205761317
None (Fine-tuned),Square,300-image attack subset,0.2592,0.15273333333333333,0.10646666666666665,0.4107510288065843,0.2004,0.12306666666666666,0.07733333333333334,0.7842,0.6685666666666666,0.11563333333333337,0.5892489711934157
CLAHE,C&W,300-image attack subset,0.1750841750841751,0.099013624520002,0.0760705505641731,0.43447987533768095,0.1037990515565807,0.05175246832021017,0.052046583236370535,0.6705591337340376,0.5004036266226581,0.1701555071113795,0.5346281747120166
CLAHE,DeepFool,Full test,0.1750841750841751,0.0857693194556945,0.08931485562848059,0.5101252331088217,0.1037990515565807,0.04713535837106467,0.056663693185516034,0.6705591337340376,0.5092411788683767,0.16131795486566092,0.6687526179111348
CLAHE,FGSM,Full test,0.1750841750841751,0.15328403596749765,0.02180013911667744,0.12451233303179231,0.1037990515565807,0.079154521940156,0.0246445296164247,0.6705591337340376,0.6288880589660636,0.04167107476797405,0.8771290842748937
CLAHE,PGD,Full test,0.1750841750841751,0.1400101579838813,0.035074017100293786,0.20032659766898567,0.1037990515565807,0.07749069640643534,0.02630835515014536,0.6705591337340376,0.6114379631196947,0.059121170614342966,0.8505622760207658
CLAHE,Square,300-image attack subset,0.1750841750841751,0.1491507661076972,0.02593340897647789,0.14811966280796024,0.1037990515565807,0.08242167787584424,0.02137737368073646,0.6705591337340376,0.5741691882219105,0.0963899455121271,0.643557810381072
Adversarial Training,C&W,300-image attack subset,0.2446869615163699,0.0773643096551473,0.16732265186122258,0.6838233260337758,0.1975223007871056,0.0674525934331676,0.13006970735393797,0.7712600632932759,0.4500151640297878,0.3212448992634881,0.4808496079411983
Adversarial Training,DeepFool,Full test,0.2446869615163699,0.0694638918342698,0.1752230696821001,0.7161111838416345,0.1975223007871056,0.0600430635909488,0.1374792371961568,0.7712600632932759,0.4906274056693481,0.2806326576239278,0.5059101827234388
Adversarial Training,FGSM,Full test,0.2446869615163699,0.22701299753765003,0.01767396397871987,0.07223091851397018,0.1975223007871056,0.16298385268032248,0.03453844810678311,0.7712600632932759,0.7344762917669954,0.03678377152628054,0.9039919195109368
Adversarial Training,PGD,Full test,0.2446869615163699,0.16981025210938147,0.07487670940698843,0.3060102137971053,0.1975223007871056,0.12839198951210473,0.06913031127500086,0.7712600632932759,0.7175206180596331,0.053739445233642824,0.8097934426610103
Adversarial Training,Square,300-image attack subset,0.2446869615163699,0.19474857975216472,0.049938381764205175,0.20409089824291365,0.1975223007871056,0.17122193566893174,0.026300365118173852,0.7712600632932759,0.7272962889306768,0.04396377436259913,0.8626189290149145
Adversarial Training + CLAHE,C&W,300-image attack subset,0.1375269811902559,0.0913501379073662,0.04617684328288969,0.33576570126998057,0.1197198917164423,0.07193472117970147,0.047785170536740834,0.6631084099508986,0.5410111174371869,0.12209729251371171,0.7284187554236731
Adversarial Training + CLAHE,DeepFool,Full test,0.1375269811902559,0.08558047887878373,0.05194650231147216,0.3777186255518033,0.1197198917164423,0.0647060042420862,0.05501388747435611,0.6631084099508986,0.5447697998648625,0.11833861008603608,0.7237060303479363
Adversarial Training + CLAHE,FGSM,Full test,0.1375269811902559,0.15431648195698583,-0.016789500766729942,-0.12208150445404758,0.1197198917164423,0.11149114199388066,0.008228749722561643,0.6631084099508986,0.6551127070892847,0.007995702861613885,0.973884699714965
Adversarial Training + CLAHE,PGD,Full test,0.1375269811902559,0.14241986218950367,-0.004892880999247784,-0.03557760780394746,0.1197198917164423,0.10519933924604734,0.014520552470394965,0.6631084099508986,0.6591098774983825,0.003998532452516135,0.9469361674388184
Adversarial Training + CLAHE,Square,300-image attack subset,0.1375269811902559,0.1347231025543023,0.0028038786359535772,0.020387843982953933,0.1197198917164423,0.111781610542822,0.007938281173620304,0.6631084099508986,0.6335041457089322,0.029604264241966383,0.9362085811800124
