Disease,FineTunedThreshold,RobustThreshold,CombinedThreshold,RobustMinusFT,CombinedMinusFT
Atelectasis,0.6575925350189209,0.6910869479179382,0.6482719779014587,0.033494412899017334,-0.009320557117462158
Cardiomegaly,0.6663707494735718,0.6411416530609131,0.5005647540092468,-0.02522909641265869,-0.16580599546432495
Consolidation,0.5772085785865784,0.5207685232162476,0.5082936882972717,-0.05644005537033081,-0.06891489028930664
Edema,0.503241777420044,0.5000399351119995,0.5000000596046448,-0.0032018423080444336,-0.00324171781539917
Effusion,0.7164512276649475,0.7271699905395508,0.6997035145759583,0.010718762874603271,-0.016747713088989258
Emphysema,0.622519314289093,0.5023077130317688,0.5061158537864685,-0.12021160125732422,-0.11640346050262451
Fibrosis,0.5366632342338562,0.5090174078941345,0.500325083732605,-0.02764582633972168,-0.03633815050125122
Hernia,0.6225135326385498,0.6225445866584778,0.5000059604644775,3.1054019927978516e-05,-0.12250757217407227
Infiltration,0.5808206796646118,0.541351318359375,0.5112349987030029,-0.039469361305236816,-0.06958568096160889
Mass,0.6566998958587646,0.7011826038360596,0.7281435132026672,0.04448270797729492,0.07144361734390259
Nodule,0.6260895133018494,0.6730698943138123,0.5018854737281799,0.04698038101196289,-0.12420403957366943
Pleural_Thickening,0.5716025233268738,0.623218834400177,0.500657320022583,0.05161631107330322,-0.07094520330429077
Pneumonia,0.5043488144874573,0.500024676322937,0.500025749206543,-0.004324138164520264,-0.004323065280914307
Pneumothorax,0.5053949356079102,0.5216174721717834,0.5023671388626099,0.01622253656387329,-0.003027796745300293
