Disease,Precision,Recall,F1,AUC,Threshold
Atelectasis,0.2815,0.4295,0.3401,0.8141,0.6911
Cardiomegaly,0.3556,0.6234,0.4528,0.9237,0.6411
Consolidation,0.0704,0.1429,0.0943,0.7337,0.5208
Edema,0.0,0.0,0.0,0.6521,0.5
Effusion,0.45,0.4737,0.4615,0.9046,0.7272
Emphysema,0.067,0.35,0.1124,0.8373,0.5023
Fibrosis,0.0934,0.3692,0.1491,0.7577,0.509
Hernia,0.0,0.0,0.0,0.8342,0.6225
Infiltration,0.1342,0.4634,0.2081,0.6568,0.5414
Mass,0.3092,0.4519,0.3672,0.8251,0.7012
Nodule,0.2,0.216,0.2077,0.6505,0.6731
Pleural_Thickening,0.1448,0.2414,0.181,0.6965,0.6232
Pneumonia,0.0517,0.1364,0.075,0.7001,0.5
Pneumothorax,0.0816,0.2,0.1159,0.8109,0.5216

Micro F1,,,0.2447,,
Macro F1,,,0.1975,,
Mean AUC,,,,0.7713,
Hamming Loss,,,0.073,,
