Disease,Precision,Recall,F1,AUC
Atelectasis,0.1076,0.8397,0.1907,0.804
Cardiomegaly,0.1326,0.9351,0.2323,0.9436
Consolidation,0.0194,0.8571,0.0379,0.7694
Edema,0.0039,0.3333,0.0077,0.6525
Effusion,0.1536,0.8421,0.2599,0.8922
Emphysema,0.0326,0.9,0.063,0.8533
Fibrosis,0.0356,0.8308,0.0682,0.7665
Hernia,0.0071,1.0,0.014,0.9183
Infiltration,0.1,0.8927,0.1799,0.6662
Mass,0.0906,0.8173,0.1631,0.8281
Nodule,0.0867,0.858,0.1574,0.6809
Pleural_Thickening,0.0531,0.8391,0.0998,0.7469
Pneumonia,0.0172,0.7727,0.0337,0.7526
Pneumothorax,0.0161,0.75,0.0316,0.7837

Micro F1,,,0.1112,
Macro F1,,,0.1099,
Mean AUC,,,,0.7899
Hamming Loss,,,0.4251,
