Setting,Micro F1,Macro F1,Mean AUC,Hamming Loss
Clean,0.2592,0.2004,0.7842,0.0717
FGSM eps=8,0.1925,0.1345,0.704,0.145
FGSM eps=16,0.1633,0.0985,0.673,0.1735
FGSM eps=32,0.1448,0.088,0.6419,0.1959
PGD eps=8,0.1251,0.1054,0.6711,0.2616
PGD eps=16,0.1045,0.0866,0.6063,0.3176
PGD eps=32,0.0987,0.0747,0.5905,0.3437
DeepFool eps=8,0.0644,0.0492,0.5011,0.4764
DeepFool eps=16,0.0491,0.037,0.3376,0.6156
DeepFool eps=32,0.0401,0.0323,0.2249,0.7048
C&W eps=8,0.0671,0.0509,0.4164,0.4831
C&W eps=16,0.0487,0.0382,0.2623,0.6514
C&W eps=32,0.0371,0.0318,0.1456,0.7667
Square eps=8,0.2139,0.1658,0.7508,0.1155
Square eps=16,0.1464,0.1239,0.6661,0.1805
Square eps=32,0.0979,0.0795,0.5888,0.3598
CLAHE only -- Clean,0.1751,0.1038,0.6706,0.0816
CLAHE vs FGSM eps=8,0.1699,0.0948,0.6562,0.0954
CLAHE vs FGSM eps=16,0.1579,0.0809,0.6315,0.1045
CLAHE vs FGSM eps=32,0.132,0.0617,0.599,0.0905
CLAHE vs PGD eps=8,0.1477,0.0834,0.6362,0.1256
CLAHE vs PGD eps=16,0.1394,0.0773,0.6058,0.1521
CLAHE vs PGD eps=32,0.1329,0.0718,0.5923,0.159
CLAHE vs DeepFool eps=8,0.105,0.0601,0.5555,0.157
CLAHE vs DeepFool eps=16,0.0812,0.0473,0.5041,0.1803
CLAHE vs DeepFool eps=32,0.0711,0.034,0.4681,0.1573
CLAHE vs C&W eps=8,0.1111,0.06,0.5462,0.1676
CLAHE vs C&W eps=16,0.0998,0.0558,0.4825,0.1976
CLAHE vs C&W eps=32,0.0861,0.0395,0.4725,0.1869
CLAHE vs Square eps=8,0.1624,0.0913,0.6123,0.1007
CLAHE vs Square eps=16,0.1549,0.0875,0.5885,0.1195
CLAHE vs Square eps=32,0.1302,0.0684,0.5217,0.1495
