Model,Defense,Attack,AverageRelativeF1Drop,AverageRelativeAUCDrop,AverageHammingIncrease,RobustnessScore
Adversarially trained,Adversarial Training + CLAHE,FGSM,0.06873335420358968,0.01205791201201327,-0.03100603100603101,0.973884699714965
Adversarially trained,Adversarial Training + CLAHE,PGD,0.12128771804093368,0.0060299830201402185,0.010683760683760693,0.9469361674388184
Adversarially trained,Adversarial Training + CLAHE,Square,0.05072318131956565,0.09510457207960989,0.0273015873015873,0.9362085811800123
Adversarially trained,Adversarial Training,FGSM,0.17485847405154273,0.047693084702472445,0.03493728493728494,0.9039919195109369
Adversarially trained,Adversarial Training,Square,0.22975626576523203,0.07385514185621199,0.07968253968253969,0.8626189290149145
Adversarially trained,Adversarial Training,PGD,0.349987373575155,0.06967746392076325,0.11170311170311172,0.8097934426610103
Adversarially trained,Adversarial Training + CLAHE,C&W,0.38911272665934904,0.22722133716242054,0.12523809523809523,0.7284187554236731
Adversarially trained,Adversarial Training + CLAHE,DeepFool,0.4595216942281987,0.17846042714915766,0.1055056055056055,0.7237060303479363
Adversarially trained,Adversarial Training,DeepFool,0.6960188122977327,0.36386255555049485,0.3506863506863507,0.5059101827234388
Adversarially trained,Adversarial Training,C&W,0.696563777025388,0.4269471237565366,0.3487301587301587,0.48084960794119835
Fine-tuned,CLAHE,FGSM,0.23742538343899033,0.06214377326564293,0.01521626521626522,0.8771290842748937
Fine-tuned,CLAHE,PGD,0.25345467762588086,0.08816697534954772,0.06394531394531394,0.8505622760207658
Fine-tuned,None,Square,0.4091073103010913,0.14211594152631235,0.14261904761904765,0.750986889745229
Fine-tuned,None,FGSM,0.4661978756027388,0.14180468892111114,0.09977984977984977,0.7368430042344901
Fine-tuned,CLAHE,DeepFool,0.5458979859235873,0.24057230265040888,0.08329633329633329,0.6687526179111348
Fine-tuned,None,PGD,0.5565084901278419,0.20597420990472845,0.2359214859214859,0.6478226228026747
Fine-tuned,CLAHE,Square,0.6042111170080682,0.26324356338845806,0.04730158730158731,0.643557810381072
Fine-tuned,CLAHE,C&W,0.7514846560223399,0.3578972881499995,0.10809523809523809,0.5346281747120166
Fine-tuned,None,DeepFool,0.8029699569186167,0.5478830281286877,0.5272412772412772,0.3542105505328228
Fine-tuned,None,C&W,0.8064151439504842,0.6474405948707339,0.5577777777777778,0.30690214891595724
