Attack,Epsilon,SampleScope,FT_MacroF1,CLAHE_MacroF1,Robust_MacroF1,Combined_MacroF1,FT_AUC,CLAHE_AUC,Robust_AUC,Combined_AUC,FT_Hamming,CLAHE_Hamming,Robust_Hamming,Combined_Hamming,CLAHE_F1_Gain_vs_FT,CLAHE_AUC_Gain_vs_FT,Robust_F1_Gain_vs_FT,Robust_AUC_Gain_vs_FT,Combined_F1_Gain_vs_FT,Combined_AUC_Gain_vs_FT,CLAHE_F1_Recovery,CLAHE_AUC_Recovery,Robust_F1_Recovery,Robust_AUC_Recovery,Combined_F1_Recovery,Combined_AUC_Recovery
FGSM,8.0,Full test,0.1344787840737211,0.09478897188022321,0.1808275824580806,0.12617251076414018,0.7039997794207411,0.6561592082481297,0.7703316348222852,0.6829164524590192,0.14502164502164502,0.09543234543234544,0.09071484071484072,0.13983238983238983,-0.03968981219349789,-0.047840571172611424,0.046348798384359485,0.06633185540154407,-0.00830627330958092,-0.021083326961721882,-0.6016643601397055,-0.5968137239726288,0.7026090218622477,0.8274934991343355,-0.12591615681097224,-0.26301564904729624
FGSM,16.0,Full test,0.0985455351694586,0.08093818496297522,0.16763611924787192,0.12272197584577282,0.6729621115225187,0.6315495255704703,0.7379638103255521,0.6658651424418679,0.1734931734931735,0.10445110445110445,0.1056998556998557,0.1293151293151293,-0.01760735020648338,-0.04141258595204844,0.06909058407841331,0.06500169880303341,0.02417644067631422,-0.007096969080650828,-0.17279056996221515,-0.3724232468749639,0.6780237379236937,0.5845600598002918,0.23725665220084002,-0.06382301919149948
FGSM,32.0,Full test,0.08797035602401135,0.061736408977269605,0.14048785633501504,0.08557893937172913,0.6419247734816683,0.598955443079591,0.695133430153149,0.6165565263669668,0.19594294594294595,0.09052059052059053,0.12734487734487734,0.10353535353535354,-0.026233947046741743,-0.04296933040207729,0.05251750031100369,0.05320865667148067,-0.0023914166522822217,-0.025368247114701536,-0.23324220706179033,-0.3021010101821352,0.46692545578756606,0.37408981663143687,-0.0212617375871352,-0.1783544916383169
PGD,8.0,Full test,0.10541938894019731,0.08340853516405604,0.16018701573258703,0.12181400236156976,0.6711111038654536,0.6362079999944253,0.7524184130138041,0.6657250087126069,0.26162726162726163,0.12556887556887558,0.12551337551337552,0.15806415806415808,-0.022010853776141273,-0.03490310387102824,0.05476762679238972,0.08130730914835049,0.016394613421372453,-0.005386095152846715,-0.23162957294977166,-0.30874410923909335,0.576343023056403,0.7192240790502373,0.17252748776085108,-0.047644047829883386
PGD,16.0,Full test,0.08661010405605815,0.07725549468463153,0.1214838548565327,0.10218732244791266,0.6062904864821066,0.6058235985504083,0.7166359667071657,0.6600960042814964,0.3175990675990676,0.15207015207015206,0.19658119658119658,0.17071817071817072,-0.009354609371426625,-0.0004668879316982455,0.03487375080047454,0.11034548022505908,0.015577218391854511,0.0538055177993898,-0.08217664306833279,-0.0026248938110359043,0.30635247910384217,0.6203740736347476,0.13683986844975846,0.3025003669670377
PGD,32.0,Full test,0.07465811780318195,0.07180805937061852,0.10350509794719455,0.0915966929286597,0.5905276072817335,0.5922822908142503,0.6835074744579295,0.6515086195010442,0.3436563436563437,0.15895215895215895,0.23196248196248195,0.16896991896991898,-0.002850058432563432,0.001754683532516843,0.0288469801440126,0.092979867176196,0.01693857512547775,0.06098101221931074,-0.022657747934539535,0.00906194342791171,0.2293312997754328,0.48018818246779504,0.1346603849164396,0.31493227848075345
DeepFool,8.0,Full test,0.049235825914424824,0.06011120083602741,0.10287523791318477,0.08893838536023688,0.501095840131357,0.5555309475987109,0.6920357542157836,0.615449361307323,0.47644022644022643,0.15700965700965702,0.22358197358197357,0.21803196803196803,0.010875374921602586,0.054435107467353916,0.05363941199875995,0.19093991408442657,0.03970255944581205,0.11435352117596598,0.07192248876311143,0.19230677373738111,0.3547353571303105,0.6745470076878258,0.2625662936857533,0.4039848132209132
DeepFool,16.0,Full test,0.03699341334729594,0.04728419458148255,0.047347175987539666,0.06311766880041818,0.33756388980670654,0.5040523794581672,0.4782913823642854,0.5396080553362408,0.6156343656343657,0.18034743034743034,0.45582195582195584,0.2843267843267843,0.010290781234186613,0.16648848965146062,0.010353762640243729,0.14072749255757888,0.02612425545312224,0.20204416552953425,0.06295901425055406,0.3727945198452605,0.06334433458253207,0.3151115018633352,0.15982823207768249,0.45240939979575495
DeepFool,32.0,Full test,0.032252107675971954,0.03401067969568415,0.02990677687212218,0.04206195856560375,0.22493606636577682,0.4681402095482521,0.30155508042797535,0.4792519829510237,0.7047674547674547,0.15728715728715728,0.5916028416028416,0.2798590298590299,0.001758572019712197,0.24320414318247527,-0.0023453308038497746,0.07661901406219854,0.009809850889631794,0.2543159165852469,0.010455655627033246,0.4348959993108196,-0.013944251893953992,0.13700960127882653,0.058324834868760056,0.4547659971442363
C&W,8.0,300-image attack subset,0.05091842737907814,0.05997917534882858,0.12340851256284349,0.09376898685905158,0.4163647051064914,0.5462012032806007,0.6948952826044551,0.6066726749886228,0.4830952380952381,0.1676190476190476,0.2280952380952381,0.23285714285714285,0.00906074796975044,0.12983649817410936,0.07249008518376535,0.2785305774979637,0.04285055947997344,0.1903079698821314,0.05759139934518132,0.35772014163736926,0.460757264005372,0.7673959097333249,0.27236423432309276,0.5243286356172802
C&W,16.0,300-image attack subset,0.038221137135956276,0.05579939377953007,0.050268019019108004,0.07460206699068568,0.26230709399405155,0.48253931961970614,0.4418133672042354,0.5356912494382817,0.6514285714285715,0.1976190476190476,0.45071428571428573,0.3028571428571429,0.017578256643573792,0.2202322256256546,0.012046881883151728,0.17950627321018386,0.036380929854729405,0.27338415544423017,0.10338604174774181,0.4259702792321645,0.07085341046928893,0.3471986767878351,0.21397345647230373,0.5287760440207923
C&W,32.0,300-image attack subset,0.03180058311877481,0.03947883583227201,0.028681248717551417,0.04743310968936731,0.14559822034063852,0.4724703569676676,0.21333684228067293,0.4806694278846564,0.7666666666666667,0.1869047619047619,0.5788095238095238,0.3007142857142857,0.007678252713497202,0.3268721366270291,-0.0031193344012233927,0.06773862194003441,0.015632526570592498,0.33507120754401787,0.04351616485527467,0.5157973635662992,-0.017678692680139815,0.1068901221401778,0.08859666759268779,0.5287353251996012
Square,8.0,300-image attack subset,0.16575804519166576,0.09134121886496048,0.2070459176327118,0.12838869838266373,0.7507637422175387,0.6123186828385492,0.7569062898962682,0.6526141564411072,0.11547619047619048,0.10071428571428571,0.10095238095238095,0.17214285714285715,-0.07441682632670528,-0.13844505937898954,0.041287872441046036,0.00614254767872946,-0.03736934680900203,-0.09814958577643151,-1.7514569930240504,-4.8481139980640195,0.9717416944990628,0.21510172712991252,-0.8795161930989237,-3.437034032426559
Square,16.0,300-image attack subset,0.12385956916306098,0.08749272554057788,0.17967811937574113,0.1152316594106042,0.666091579650025,0.5884962062967135,0.7310186668390475,0.6272244065067535,0.18047619047619048,0.11952380952380952,0.12833333333333333,0.1788095238095238,-0.0363668436224831,-0.07759537335331146,0.055818550212680146,0.06492708718902251,-0.00862790975245678,-0.03886717314327148,-0.4309531404649257,-0.6852981114581144,0.6614590960949387,0.5734157632120552,-0.10224216437553267,-0.3432627385078854
Square,32.0,300-image attack subset,0.07953651570617856,0.06843108922199452,0.12694176999834234,0.09172447383519819,0.5888438575292168,0.5216926755304688,0.6939639100567147,0.6206738741789359,0.3597619047619048,0.14952380952380953,0.2211904761904762,0.19166666666666668,-0.011105426484184042,-0.06715118199874792,0.04740525429216377,0.1051200525274979,0.012187958129019627,0.031830016649719184,-0.08628250858497381,-0.35254338726882956,0.36831041709759366,0.5518797776130343,0.0946931307319084,0.16710743657087784
