Setting,Model,Defense,Attack,Epsilon,SampleScope,N,MicroPrecision,MicroRecall,MicroF1,MacroPrecision,MacroRecall,MacroF1,MeanAUC,HammingLoss
Fine-tuned -- Clean,Fine-tuned,None,Clean,0.0,Full test,2574,0.19095901985635827,0.4032114183764496,0.2591743119266055,0.1609932036652299,0.31080506726842394,0.20044548382020763,0.784159751034942,0.07170607170607171
Fine-tuned vs FGSM eps=8,Fine-tuned,None,FGSM,8.0,Full test,2574,0.11642683610540086,0.5557537912578056,0.19252163164400493,0.0902725640672559,0.3706229771201389,0.1344787840737211,0.7039997794207411,0.14502164502164502
Fine-tuned vs FGSM eps=16,Fine-tuned,None,FGSM,16.0,Full test,2574,0.09604786647772004,0.544157002676182,0.1632762312633833,0.06120091175253132,0.3266944257613213,0.0985455351694586,0.6729621115225187,0.1734931734931735
Fine-tuned vs FGSM eps=32,Fine-tuned,None,FGSM,32.0,Full test,2574,0.08380044843049328,0.5334522747546833,0.14484679665738162,0.05566345272324672,0.3087707589885027,0.08797035602401135,0.6419247734816683,0.19594294594294595
Fine-tuned vs PGD eps=8,Fine-tuned,None,PGD,8.0,Full test,2574,0.06980838943552563,0.6012488849241748,0.1250927988121752,0.06897890862000915,0.4301191159871977,0.10541938894019731,0.6711111038654536,0.26162726162726163
Fine-tuned vs PGD eps=16,Fine-tuned,None,PGD,16.0,Full test,2574,0.05728987993138936,0.5958965209634255,0.10453016195915812,0.08042037991135635,0.4072307898547699,0.08661010405605815,0.6062904864821066,0.3175990675990676
Fine-tuned vs PGD eps=32,Fine-tuned,None,PGD,32.0,Full test,2574,0.05372850463586655,0.6048171275646744,0.09868995633187773,0.06594851518995863,0.40640156564020585,0.07465811780318195,0.5905276072817335,0.3436563436563437
Fine-tuned vs DeepFool eps=8,Fine-tuned,None,DeepFool,8.0,Full test,2574,0.034300638421358096,0.5272078501338091,0.06441065881968285,0.02763577534539816,0.4274112941567427,0.049235825914424824,0.501095840131357,0.47644022644022643
Fine-tuned vs DeepFool eps=16,Fine-tuned,None,DeepFool,16.0,Full test,2574,0.02579918955425484,0.5111507582515611,0.04911919763404912,0.019717762776361576,0.4636716476190318,0.03699341334729594,0.33756388980670654,0.6156343656343657
Fine-tuned vs DeepFool eps=32,Fine-tuned,None,DeepFool,32.0,Full test,2574,0.020918850647300286,0.4727921498661909,0.040065011150168195,0.017138689544373142,0.4211387751721186,0.032252107675971954,0.22493606636577682,0.7047674547674547
Fine-tuned -- Clean (C&W/Square subset),Fine-tuned,None,Clean,0.0,300-image attack subset,300,0.2,0.4154929577464789,0.2700228832951945,0.16226999264924963,0.32533303590995905,0.20824657138620156,0.7793202199394476,0.07595238095238095
Fine-tuned vs C&W eps=8,Fine-tuned,None,C&W,8.0,300-image attack subset,300,0.03590752582390556,0.5140845070422535,0.06712643678160919,0.028338518557783174,0.38583168967784354,0.05091842737907814,0.4163647051064914,0.4830952380952381
